name,latitude,longitude,free_bikes,empty_slots,total_bikes
Morris Canal,40.7124188237569,-74.03852552175522,4,9,13
Brunswick & 6th,40.72601172964625,-74.05038893222809,14,0,14
Lafayette Park,40.71346382669195,-74.06285852193832,8,6,14
Lenox Ave & W 115 St,40.8011939,-73.9500739,16,15,31
E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,11,64,75
Murray St & Greenwich St,40.714851505262516,-74.01122331619263,7,40,47
E 115 St & Madison Ave,40.7989445,-73.944846,21,9,30
E 118 St & Madison Ave,40.8014866,-73.9442507,27,0,27
Lexington Ave & E 111 St,40.7954121,-73.9441232,27,2,29
Madison Ave & E 120 St,40.80295,-73.942954,26,3,29
E 123 St & Lexington Ave,40.8029263,-73.9379,22,5,27
Lexington Ave & E 127 St,40.805726,-73.936322,14,7,21
Park Ave & E 124 St,40.8045555,-73.9396861,19,14,33
Broadway & 12 St,40.7668,-73.9347774,27,3,30
W 100 St & Broadway,40.7973721,-73.97041192,33,5,38
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,22,8,30
Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,18,1,19
Pershing Field,40.742677141,-74.051788633,5,11,16
Newark Ave,40.72152515,-74.046304543,1,18,19
Christ Hospital,40.734785818,-74.050443636,9,12,21
Van Vorst Park,40.71848892,-74.047726625,1,21,22
Garfield Pl & 8 Ave,40.6711978,-73.97484126,17,5,22
